tracking_id	control_20min_0	20bicyclomycin_20min_0	100bicyclomycin_20min_0	control_60min_0	20bicyclomycin_60min_0
b3772	1438.38	1352.71	2815.84	938.17	2246.48
b3773	683.992	1075.66	1864.35	642.34	1064.48
b3774	1301.58	2492.57	5421.34	1157.39	4395.58
b3775	9869.41	8804.05	2489.64	6798.19	3075.9
b3777	1030.64	953.406	1537.33	817.952	699.297
b3778	6086.87	5631.6	5463.24	4529.38	5340.85
b3779	9797.69	6266.62	3426.34	6144.07	6153.48
b3780	18668.3	8386.27	3637.51	13393.7	8189.25
b3781	29738.4	14989.8	4174.87	15227.6	6816.68
b3783	40303.8	113416	47008.2	34986.9	90128.8
b3784	15110.3	17264.2	8993.11	10073.5	7817.36
b3785	8494.79	8388.91	6450.88	5275.44	4054.75
b3786	7802.83	10569.3	10090	4798.1	7093.71
b3787	7728.45	10038.9	7934.81	4984.32	5654.82
b3788	7145.4	9987.89	8309.48	4914.78	5313.99
b3789	4470.52	5228.78	4575.02	2198.1	3168.25
b3790	2097.13	3686.09	3205.31	1408.43	1775.53
b3791	5709.68	7811.94	6168.23	3030.19	4708.71
b3792	2147.6	4218.2	2774.76	2153.31	2595.71
b3793	2378.7	4685.23	2513.47	1700.73	3025.53
b3794	2115.73	3412.56	2695.88	1606.44	2527.71
b3795	5145.22	4375.64	4998.18	3975.43	3136.34
b3796	1866.04	1539.17	712.382	1262.29	876.43
b3797	3609.89	2698.38	1091.17	1561.65	856.283
b3798	0	0	0	0	0.839493
b3799	213.831	168.869	41.0832	38.894	146.072
b3800	158.049	860.176	3365.53	200.363	1072.87
b3801	532.584	1321.93	3975.21	505.622	2568.01
b3802	13153.9	10330	3891.4	9023.4	6118.22
b3803	8421.74	3927.96	1588.28	6121.67	3599.74
b3804	3159.65	1679.89	560.375	2378.43	1242.45
b3805	6311.32	3062.51	1306.45	4209.98	2672.94
b3806	41782	35432.6	16122.7	32571.9	28929.8
b3807	3939.27	3831.21	1889	3119.77	3192.59
b3809	2466.36	1409.88	1537.33	1805.62	1680.66
b3810	3078.63	1653.51	2686.02	1951.77	2066.83
b3811	5127.95	3021.17	4764.83	3333.1	4108.48
b3812	4450.6	3126.71	4692.52	2684.86	3629.97
b3813	9755.19	8429.37	9464.74	5009.07	6346.57
b3816	6284.76	7329.96	5966.1	3978.97	9705.38
b3817	134.142	588.402	1079.67	57.7516	601.916
b3818	17.2658	343.015	2378.72	25.9293	400.438
b3819	1548.61	3556.8	16134.2	1606.44	4992.46
b3820	1389.24	2072.16	9274.12	3183.41	2500.01
b3821	6162.57	3427.51	4257.86	3765.64	2130.63
b3822	7607.59	6109.18	5351.5	6279.61	4793.5
b3823	1207.28	1414.28	1234.14	982.957	1509.41
b3824	515.319	1707.16	2001.57	378.332	1642.05
b3825	6341.87	4269.22	2712.31	4706.17	3473.82
b3826	3016.21	2003.56	1796.98	1858.66	2657.83
b3827	2604.48	2552.56	2618.76	859.597	2118.04
b3828	1143.53	2035.04	4832.91	848.201	1521.16
b3829	782.275	1023.77	5155.94	816.773	2205.35
